Cpd,CATS2D_09_DA_me,C-012_me,VE1sign_D/Dt_bt,F08[C-O]_me,C-012_at,VE2_D/Dt_me,SpMAD_AEA(dm)_bt,S-109_bt,GATS3p_at,HyWi_B(s)_bt
749,0.203233256,-0.064665127,0.10567037,2.930715935,-0.080357143,0.006224018,-0.030873016,-0.53968254,0.014930804,-0.150767196
1802,0.115384615,-0.230769231,0.24967037,1.153846154,0,-0.023884615,-0.040873016,-0.53968254,0.021294118,0.069232804
102,-0.796766744,-0.064665127,0.203818391,-0.069284065,-0.080357143,0.035224018,0.025632184,-0.333333333,-0.014069196,-0.544942529
1278,-0.884615385,-0.230769231,0.09767037,2.153846154,0,-0.020884615,-0.070873016,-0.53968254,0.141294118,-0.400767196
1015,1.203233256,-0.064665127,0.19167037,2.930715935,-0.080357143,-0.011775982,-0.060873016,-0.53968254,0.009930804,-0.160767196
122,-0.796766744,-0.064665127,-0.240181609,-3.069284065,-0.080357143,0.046224018,-0.084367816,-0.333333333,0.108930804,-0.694942529
1012,1.203233256,-0.064665127,0.11667037,-0.069284065,-0.080357143,-0.006775982,-0.050873016,-0.53968254,0.066930804,-0.390767196
355,-0.796766744,-0.064665127,-0.240181609,-3.069284065,-0.080357143,0.113224018,-0.124367816,-0.333333333,0.138930804,-0.864942529
882,-0.796766744,-0.064665127,-0.07432963,-1.069284065,-0.080357143,-0.000775982,0.019126984,0.46031746,-0.124069196,-0.020767196
149,-0.796766744,-0.064665127,-0.175181609,-1.069284065,-0.080357143,0.006224018,0.005632184,-0.333333333,0.368930804,0.495057471
1188,-0.884615385,-0.230769231,-0.04632963,-1.846153846,0,0.036115385,-0.070873016,-0.53968254,0.081294118,-1.150767196
1922,0.115384615,-0.230769231,0.20867037,0.153846154,0,-0.006884615,-0.030873016,-0.53968254,0.141294118,-0.210767196
1562,-1.166666667,-0.333333333,-0.290181609,-2,-0.080357143,0.017,-0.024367816,-0.333333333,0.098930804,-0.094942529
246,-0.796766744,-0.064665127,-0.160181609,-3.069284065,-0.080357143,0.039224018,-0.074367816,-0.333333333,0.078930804,-0.694942529
167,0.203233256,-0.064665127,0.040818391,0.930715935,-0.080357143,0.030224018,-0.064367816,-0.333333333,-0.115069196,-0.414942529
490,-0.796766744,-0.064665127,-0.06832963,-2.069284065,-0.080357143,-0.003775982,-0.000873016,0.46031746,-0.059069196,-0.140767196
1381,1.115384615,-0.230769231,-0.11432963,-0.846153846,0,-0.025884615,-0.040873016,-0.53968254,0.171294118,-0.030767196
1433,-0.884615385,-0.230769231,0.21467037,0.153846154,0,0.006115385,-0.040873016,-0.53968254,-0.213705882,-0.370767196
926,0.203233256,-0.064665127,-0.01932963,-2.069284065,-0.080357143,0.075224018,-0.090873016,-0.53968254,0.020930804,-0.660767196
174,-0.796766744,-0.064665127,-0.277181609,-1.069284065,-0.080357143,0.019224018,-0.034367816,-0.333333333,0.408930804,0.055057471
311,-0.796766744,-0.064665127,0.343818391,2.930715935,-0.080357143,0.019224018,0.005632184,-0.333333333,-0.034069196,-0.244942529
1835,-0.884615385,-0.230769231,-0.21343963,-1.846153846,0,-0.001884615,-0.090873016,-0.53968254,0.031294118,-0.460767196
539,1.203233256,-0.064665127,0.06967037,0.930715935,-0.080357143,0.041224018,-0.060873016,-0.53968254,-0.048069196,-0.570767196
606,0.203233256,-0.064665127,-0.07432963,0.930715935,-0.080357143,-0.000775982,0.019126984,0.46031746,-0.107069196,-0.000767196
699,-0.796766744,-0.064665127,-0.04532963,-2.069284065,-0.080357143,0.004224018,0.099126984,0.46031746,-0.114069196,-0.120767196
1900,-0.884615385,-0.230769231,-0.17322963,4.153846154,0,0.014115385,0.129126984,-0.53968254,-0.035705882,-0.150767196
1506,-0.796766744,-0.064665127,-0.211181609,-2.069284065,-0.080357143,0.034224018,-0.024367816,-0.333333333,0.078930804,-0.214942529
1549,-2.166666667,-0.333333333,-0.382211609,-6,-0.080357143,0.055,-0.084367816,-0.333333333,-0.056069196,-0.754942529
1772,-0.884615385,-0.230769231,-0.20859963,0.153846154,0,0.017115385,-0.130873016,-0.53968254,0.091294118,-0.950767196
470,-0.796766744,-0.064665127,-0.15112963,-0.069284065,-0.080357143,-0.000775982,0.029126984,0.46031746,-0.023069196,-0.040767196
851,-0.796766744,-0.064665127,-0.10632963,0.930715935,-0.080357143,-0.001775982,-0.010873016,0.46031746,-0.190069196,0.139232804
1151,-0.884615385,-0.230769231,0.16467037,-0.846153846,0,0.007115385,-0.090873016,-0.53968254,0.051294118,-0.610767196
423,0.115384615,-0.230769231,-0.096181609,0.153846154,-0.080357143,0.011115385,-0.094367816,-0.333333333,0.108930804,-0.454942529
1705,-1.166666667,-0.333333333,-0.15792963,-2,-0.080357143,0.041,-0.100873016,-0.53968254,0.308930804,-0.510767196
636,-0.796766744,-0.064665127,-0.14602963,-1.069284065,-0.080357143,-0.007775982,0.029126984,0.46031746,-0.104069196,0.359232804
41,0.203233256,-0.064665127,0.118818391,-0.069284065,-0.080357143,0.005224018,-0.054367816,-0.333333333,0.098930804,-0.014942529
1887,0.115384615,-0.230769231,0.32767037,4.153846154,0,0.008115385,-0.040873016,-0.53968254,-0.107705882,-0.230767196
1238,-0.884615385,-0.230769231,0.21867037,0.153846154,0,0.006115385,-0.050873016,-0.53968254,-0.050705882,-0.420767196
886,-0.796766744,-0.064665127,-0.06232963,1.930715935,-0.080357143,-0.012775982,0.009126984,0.46031746,-0.054069196,0.389232804
1589,-1.166666667,-0.333333333,-0.370981609,-4,-0.080357143,0.008,-0.064367816,-0.333333333,0.138930804,0.625057471
1302,-0.884615385,-0.230769231,-0.04632963,-1.846153846,0,0.027115385,-0.070873016,-0.53968254,0.171294118,-0.910767196
522,-0.796766744,-0.064665127,-0.08532963,-0.069284065,-0.080357143,0.068224018,-0.020873016,-0.53968254,0.298930804,-0.440767196
76,-0.796766744,-0.064665127,-0.261181609,-0.069284065,-0.080357143,0.068224018,-0.024367816,-0.333333333,0.298930804,-0.244942529
744,0.203233256,-0.064665127,0.05667037,1.930715935,-0.080357143,-0.008775982,0.059126984,-0.53968254,0.238930804,-0.070767196
1463,-0.884615385,-0.230769231,-0.12692963,0.153846154,0,0.020115385,-0.110873016,-0.53968254,-0.107705882,-0.800767196
915,-0.796766744,-0.064665127,0.16167037,1.930715935,-0.080357143,-0.001775982,0.059126984,-0.53968254,0.067930804,0.019232804
575,0.203233256,0.935334873,0.08767037,-2.069284065,0.919642857,0.027224018,0.019126984,-0.53968254,0.098930804,-0.390767196
4,-0.796766744,-0.064665127,0.301818391,3.930715935,-0.080357143,0.028224018,0.015632184,-0.333333333,0.000930804,-0.114942529
